author,title,full_text
KSB muzic,Но я то тоже,"Ты очень любишь русский рок, и играешь на басу
Презираешь всей душой злоебучую попсу
Дрочишь ночью, извращенка, на патлатых металлистов
Не умеешь петь, мечтая всё равно стать вокалисткой
Ведёшь на людях себя, как страшный сон социофоба
Акушер в Конверсах уже тебя вынул с утробы
Маминой, раненой душевно
Почему не ебёшь в душе на
Давай с тобой, обнявшись стоя
Вдвоём споём все песни Цоя
Да наизусть, ведь не слабо же
Пусть ты и ебанутая, но я то тоже
Ты с горячим сердцем для мальчишек неподступна
На щеке вытатуировала капслоком крупно: «ХРАНЮ ДЕВСТВЕННОСТЬ ДЛЯ КУРТА КОБЕЙНА
УМРУ МАГОМ, СЕБЕ НАКОЛДУЯ ПОРТВЕЙНА»
Земной лунтик вечно с двумя парами ушей
Её ноги пойдут в пляс, ты только подключи Кишей
Панк-рок ей, блять, на максимум включи
Не кричи, и не ищи ключи
Давай с тобой, обнявшись стоя
Вдвоём споём все песни Цоя
Да наизусть, ведь не слабо же
Пусть ты и ебанутая, но я то тоже
"
BIRCHPUNK,Choojoy,"Отчего здесь чужой
Я для обитателей?
Ведь в галактике большой
Все всегда приятели
Разных планет, близких и нет
Жителям очень нужен свет
Свет прилетит, ты посмотри -
Друг, я такой же как ты
Друг, я такой же как ты
Ла-ла-ла-ла-ла
Ла-ла-ла-ла-ла-ла-ла
Та-ра-ра-ра-ра
Та-ра-ра-ра-ра-ра-ра
Расскажи, что не то
Что не нравится во мне?
Да, живу я далеко
Вам не узнать таких планет
Но знаю, что там и что у вас
Жители тоже любят вальс
Оркестр играет, ты посмотри -
Друг, я такой же как ты
Друг, я такой же как ты
Ла-ла-ла-ла ла
Ла-ла-ла-ла-ла-ла-ла
Та-ра-ра-ра-ра
Та-ра-ра-ра-ра-ра-ра
Всё вокруг создано
Не для войн и не для зла
Посмотри, вот оно
Солнце нас не сжжёт до тла
Солнце одно, мы не одни
Вместе мы проводим дни
Скажу тебе так - я не чужак
Друг, тебе я не враг
Друг, тебе я не враг
Друг...
"
HARDBALLS,Не смотри в глаза,"Не смотри в глаза, там больше нет меня,
Там лишь чёрный пепел, я сгорел дотла.
Я умирал, когда ты ушла,
А во мне пылали моё сердце и душа
Уже утихла боль,
И не осталось ничего.
Всё пропало, нет ни боли, ни любви.
Я не верю в эти страдания твои.
Не пытайся, не смотри в мои глаза
Там лишь пепел, там больше нет меня.
Я думал буду пьян cмогу послать к чертям,
Забуду всё, что было, чтоб не сойти с ума.
Закончена игра, и все твои слова
Зажечь меня не смогут, ведь я сгорел тогда
Уже утихла боль,
И не осталось ничего.
Всё пропало, нет ни боли, ни любви.
Я не верю в эти страдания твои.
Не пытайся, не смотри в мои глаза
Там лишь пепел, там больше нет меня.
"
Bisexual From The Village,Субкультура,"Переулок, пять утра
Меня встретит гопота
Пояснит за мою причёску
Ведь одет не так, как все
Не по моде и вообще
Не похож я на натурала
Дом, квартира, три утра
Я стою возле окна
Провожаю свою усталость
Небо лепит облака
Мне бы к ним на небеса
Думаю, через час отпустит
День или вечер, я не знал
Что имел – я потерял
Даже бросила меня девчонка
Небо лепит облака
Мне бы к ним на небеса
Душу продал за билет до рая-я
"
Сова,Гроза,"Отмеряю шагами этажи
Я сегодня живу и не тужу
Говоришь: «Минутку подожди»
Хорошо, не страшно, я подожду
Отмеряю шагами этажи
Я сегодня живу и не тужу
Говоришь: «Минутку подожди»
Хорошо, не страшно, я подожду
Хочешь дружить — я с радостью
Хочешь любить — я со всей страстью
Не хочешь, ладно, я только за
Вот только громче стала гроза…
Хочешь дружить — я с радостью
Хочешь любить — я со всей страстью
Не хочешь, ладно, я только за
Вот только громче стала гроза…

Светофора огни, как миражи
Нужен зонт размером с парашют
Этот дождь со мною пережди
Ладно, хочешь домой я провожу
Светофора огни, как миражи
Нужен зонт размером с парашют
Этот дождь со мною пережди
Ладно, хочешь домой я провожу
Хочешь дружить — я с радостью
Хочешь любить — я со всей страстью
Не хочешь, ладно, я только за
Вот только громче стала гроза…
Хочешь дружить — я с радостью
Хочешь любить — я со всей страстью
Не хочешь, ладно, я только за
Вот только громче стала гроза…
Вот только громче стала гроза…
Вот только громче стала гроза…
Вот только громче стала гроза…
"
Александр Кравцов,Надейся только на себя,"Надейся только на себя, чтоб больше не разочаровываться.
Взаимодействуй со своим я, побольше самообразовывайся.
Не доверяй лживым подвохам, такие правила игры.
Меняйся, в сторону хорошего, пустые обещания разгляди.
Надейся только на себя, и понимай себя в природе.
Твое ведь внутреннее я, решает многое сегодня.
Тебе дается с детства все, чтоб ты не разочаровался.
Надейся только на себя, как много нас это касается.
В любом из Вас талант заложен, уже с рождения друзья.
Передовое преумножится, для направления себя.
Надейся только на себя, чтоб больше не разочаровываться.
Взаимодействуй со своим я, побольше самообразовывайся.
"
АнимациЯ,"Полигог (feat. Константин Кинчев, 25/17)","В этой вселенной на всех не хватает любви -
Миллиарды людей и молитв,
Оголённых сердец и голов.
Время цинизма - в моде без правил бои,
И мы бьёмся, стоим за своих,
Жаль своих почти нет никого!
Публика в сборе, ладони прибиты к кресту -
Смерть глотает блесну,
Постепенно глотает блесну!
Волосы быстро белеют, а дети растут -
Смерть глотает блесну,
Постепенно глотает блесну!
В этой вселенной на всех не хватает любви -
Одиноко горят фитили,
Возбуждаясь лишь на алкоголь.
Странное дело, но, видимо, нам не с руки
Иногда написать две строки,
Прежде чем отправляться на бой.
Мы на манеже, ладони прибиты к кресту -
Смерть глотает блесну,
Постепенно глотает блесну!
Волосы быстро белеют, а дети растут -
Смерть глотает блесну,
Постепенно глотает блесну!
И неужели это мы...
И раскалились добела
В ринге квартиры и кандальной полутьмы
Два угла!
В этой вселенной на всех не хватает любви -
Миллиарды людей и молитв,
Оголённых сердец и голов.
Всё канет в ленту и кто-то её обновит,
Но пока кислород есть в крови,
Я прошу оставайся со мной.
Это случится, я тоже когда-то усну -
Смерть глотает блесну,
Постепенно глотает блесну!
Волосы давно побелели, и внуки растут -
Смерть глотает блесну,
Постепенно глотает блесну!
"
Авторские песни,ГLUK (Василий Егоров) - Костёр,"Мы идем туда, где снег тает
Эту песню нам принес ветер
Облака перетекли за перевал,
Я о таком и не мечтал –
Чтобы смотреть на облака под нами
Ты же знаешь, я пою тихо
Важно то, что ты меня слышишь
Пусть мы еще долго будем тут,
Нас где-то ждут, и есть маршрут,
Ведущий к счастью – что не за горами
Свет этого костра
Рисует на снегу тенями между звезд
И ничего здесь нет – того, что не для нас
И будет день и час, когда нам повезет
А там, внизу, весна под душем из дождей
И завтра мы пойдем, проваливаясь в снег,
Смотреть в ее глаза. Мы точно будем с ней
Мы дети в облаках – для нас их тихий бег
Посмотри, вон там звезда упала
Зацепилась за вершок ели
Знаешь, я хочу запомнить эту ночь,
Пока такие же точь-в-точь
Как мы, идущие, – идут куда-то
Завтра будет белизна утра
Завтра мы не вспомним, что пели
Будут песни о другом и для других,
Мы снова заплутаем в них,
Но все к весне – и значит, так надо
Свет этого костра
Рисует на снегу тенями между звезд
И ничего здесь нет – того, что не для нас
И будет день и час, когда нам повезет
А там, внизу, весна под душем из дождей
И завтра мы пойдем, проваливаясь в снег,
Смотреть в ее глаза. Мы точно будем с ней
Мы дети в облаках – для нас их тихий бег
Свет этого костра
Рисует на снегу тенями между звезд
И ничего здесь нет – того, что не для нас
И будет день и час, когда нам повезет
А там, внизу, весна под душем из дождей
И завтра мы пойдем, проваливаясь в снег,
Смотреть в ее глаза. Мы точно будем с ней
Мы дети в облаках – для нас их тихий бег
"
Авторские песни,Andraniy - О Любви,"Тебя Люблю я до сих пор,
Ты мой прекрасный эталон,
Ты солнца свет и свет свечи,
Что нежно капает в ночи,
Ты звуки лета и тепла,
Ты звук огня и мотылька,
Ты звук прекрасной, красной розы,
Что шепчет строки этой прозы,
Ты моря шторм и тихий бриз,
Ты моё солнце, мой каприз,
Ты словно лечь от счастья в кому,
Ты хочешь это? я исполню.
Ты словно первая любовь,
Ты словно тысячи томов,
Что прочитать за один миг
И насладиться тыщью книг.
Ты шёлк, алмаз, ты белый мрамор,
Ты нежная ты взрачный автор,
Что пишет действия мои
И забывает про свои...
Любовь пойми, всегда тревожно,
Тут надо плавно осторожно,
Тебе пойми не так уж больно,
Мне скажет друг держа невольно,
Но вот вопрос ,к нему и всем:
""Боль это разве насовсем?
И к боли можно ли привыкнуть?
И ждать ли что моя утихнет?""
И что мне делать? Это край.
Я помню наш с тобою рай:
Мы вместе за руку гуляли,
В душе моей кипело пламя.
Но вот настал и наш черёд,
И черт тебя не разберет,
К чему ты сердце соблазнила?
Использовала и убила.
Ведь я тебе как себе верил.

И словно пёс тебе был верен,
Пока не слышал я слова,
Сжигавшие меня до тла.
Я молча встал и развернулся,
Не дав тебе меня коснуться.
Обида, боль, души терзанье,
И вот последнее прощание.
И вот я снова одинок.
Меня сломало поперёк.
Теперь я канул месяцок.
Потом второй и третий, пятый,
Пол года я во тьме треклятой.
Но вот ты пишешь мне опять,
А слов не в силу мне связать,
Хочу тебе открыть я чувства,
Совсем забыв что это дурство,
Совсем забыв о том о сëм
Мы что опять с тобой вдвоём?
Недолго птички трель пищали,
Недолго бабочки летали,
Недолго я счастливым был,
Я вновь, опять, стою один.
"
BTS,2U - (Для тебя) feat. Jungkook на русском,"Но не будет высоты, мной не покорённой.
Я все бы слёзы для тебя, без сомнений, пролил. О, нет... Но каждый вздох, каждый миг хочу я с тобою разделить.
И обещаю я защитить ради тебя горы покорить...
Если ты со мной нет преград! Наши души поют в унисон...
Если ты со мной я так рад! И от чистого сердца тебе пою, По 1 удару вниз.
Что люблю! Что люблю! Чувства разделим! Лишь будь со мной...
Имя Купидон написал твоё в стрелах. О, е...
Не упусти любовь после не сожалея... О, о, о... Не предугадать жизни цель. Лишь только с тобой бы делить постель,
Раздели жизнь на двоих. Как отдаю себя каждый миг...
Если ты со мной нет преград! Наши души поют в унисон...
Если ты со мной я так рад! И от чистого сердца тебе пою, По 1 удару вниз.
Что люблю! Что люблю! Чувства разделим!
Если ты со мной нет преград! Наши души поют в унисон...
Если ты со мной я так рад! И от чистого сердца тебе пою, По 1 удару вниз.
Что люблю! Что люблю!
"
Авторские песни,Морская пена - Кайрат Осипов и Махаоны,"Дни вдоль спирали. События и лица.
Всё, что мы ждали, возможно, не случится.
Ты в капле сока. Не раньше и не позже.
И одиноко бежит волна по коже.
Сны вдоль спирали. Может быть, ужасная ошибка.
Грусть и печали не укроет редкая улыбка.
Ветер играет, как дитя, остывшею листвою.
Чайка летает в ожидании нового прибоя.
Унесёт морская пена то, что было не на месте.
Ты скажи мне откровенно, можем быть с тобой мы вместе.
Унесёт морская пена то, что было не на месте.
Ты скажи мне откровенно, можем быть с тобой мы вместе или нет.
Жизнь вдоль спирали. Возвращение к истокам.
То, что мы ждали, не случилось, и прошило током.
Ты на ладони, но со мною не спешишь на волю.
Ты на перроне, не со мною ты уедешь к морю.
Унесёт морская пена то, что было не на месте.
Ты скажи мне откровенно, можем быть с тобой мы вместе.
Унесёт морская пена то, что было не на месте.
Ты скажи мне откровенно, можем быть с тобой мы вместе или нет.
Днём и ночью мысли мои только тобою одною полны.
Каждый день от весны до весны. Буду ли жить в поиске волны?
Уплывают года. Неужели зазря? Высыхает вода, исчезают моря.
Словно миражи эти вечные стены, уплывает любовь словно пена, пена, пена.
"
Будущие покойники,Охотники на снегу,"Видно с птичьего полета, как охотники с охоты возвращаются по снегу,
И поджарые собаки, сбившись в кучу, поспешают за охотниками следом.
Добираясь до ночлега, все промокли и устали, и выходят на вершину,
Уходя до горизонта впереди лежит равнина... занесенная снегами.
Там далекие деревни и кирпичные руины, и готические шпили,
Там деревья и каналы, и катки, и конькобежцы, и дороги, и плотины,
Там пиликают на скрипке и служанки носят воду и на кухне жмутся дети,
Там прядут и вышивают, чинят порванные сети... выпивают у соседей.
(на губной гармошке)
Там из липы вырезают немудреные игрушки, там расписывают глину,
Там в обнимку у харчевни бродят пьяные солдаты и горланят про чужбину.
В сером воздухе холодном пахнет луковой похлебкой, пахнет брагою и хлебом,
Тишина повсюду веет, день смеркается... короткий... не оглянешься – стемнеет.
(на тромбоне)
"
ЗоХа,Игрушка,"Я нашёл её у магазина
И забрал к себе домой
Моя игрушка была так красива
И даже казалась живой
Мы всегда спали с ней вместе в обнимку
И я до тех пор не верил в любовь
Её всё тянет к красотам из фильмов
А я обычный урод
игрушка снова пылиться на полке. она так хочет любви и заботы. игрушке ночью и днём одиноко она не знала, что будет так больно
Я подарю тебя своему другу надеюсь вам будет хорошо
Пусть он постарше, и будет не долго
Играть с тобою в любовь
Мы как и все совершаем ошибки
Но нужно уметь отпускать
Я как и все, простил ей все обиды
Мы больше не ляжем кровать
игрушка снова пылиться на полке. она так хочет любви и заботы. игрушке ночью и днём одиноко она не знала, что будет так больно
"
Nagart,Моряк (feat. Таблетки),"Там, где ветер дул,
Не гудел песок,
Тишина и мрак.
На одной ноге,
Не в самом себе,
Капал с глаз моряк.
Ни одна волна, ни один прибой
Не хотели брать моряка с собой!
В синюю-синюю даль самого дна!
Он сам себе утонет!
Снова хочет в море...
Броситься с головой!
Он сам себе утонет!
Снова просит море: ""Забери меня домой...""
Старый добрый пёс не повесил нос,
Руки рвут песок.
Порох отсырел, заржавел курок,
Не попал в висок.
Порвалась петля от глотка воды,
Не спасли ножи. ""Разве это жизнь моряка по ту сторону берега!?""
Он сам себе утонет!
Снова хочет в море...
Броситься с головой!
Он сам себе утонет!
Снова просит море: ""Забери меня домой...""
Он увидел свет, И его глаза
Высохли совсем...
Начинался день, город раскинув тень,
Он побрёл на свет...
Но в конце концов превратился в дождь,
Тело ни к чему... ""Видишь, это он за твоим окном,
Улыбнись ему!""
Он больше не утонет!
И не хочет в море...
Броситься с головой!
Он больше не утонет!
И не просит море: ""Забери меня домой!""
Он больше не утонет!
Больше не утонет!
Больше не утонет!
Он пришёл домой!
"
Лес Гинкго,Это лето было сном,"И каждую зиму снится мне
Что это лето было сном
Я падаю в рыхлый снег
И вижу нас на пляже босиком
Мы познакомились с тобой в самый странный день
В моей жизни бьет капель и всё не видно за пургой
Пустой трамвай и вино
А мандариновое солнце заливает это всё
И заливает нас с тобой
Пусть дождь пройдет, мне все равно
Я буду ждать этот день
Как ждет тот парусник на волнах
Долгожданный свой прибой
И может, ты тоже просто сон
А я в своей кровати до сих пор
И кажется мне… Кажется…
Печати на руках и слово
Меня никому ты не отдашь
Танцуем мы под фонарями
Словно этот город только наш
Перчатки на руках лишь только
Приближают то тепло
Что я потерял
Когда-то там… когда-то там давно (о о о о)
И, может, ты тоже просто сон
А я в своей кровати до сих пор
И кажется мне, что я не проснусь
"
Ягода (Юля Кошкина),Чудовище,"Сижу, а мыслей полчища, грустней день ото дня
Скажи, моё чудовище, коль любишь ты меня
Скажи и не обманывай, слова не утаи
А коли любишь, то, как я хочу, меня люби
Я сразу не заметила, я сразу не ждала
Что когти на твоих руках и в шерсти голова
Что слово стало дикое и грозным стал твой вид
Что лютая обида в груди твоей сидит
Не унывай, душа моя, живи и не печалься
Когда разбилась чашечка, все говорят:
На счастье
А если к счастью ты себя не чувствуешь причастной
То промолчи и навсегда останься безучастной
Отдай меня, чудовище, кому-нибудь ещё
Такое невесёлое мне, девушке, житьё
Сижу, а мыслей полчища, грустней день ото дня
Скажи, моё чудовище, коль любишь ты меня
"
Аркадий Коц,За что воюем?,"Гремит и гремит войны барабан.
Зовет железо в живых втыкать.
Из каждой страны за рабом раба бросают на сталь штыка. За что?
Дрожит земля голодна, раздета.
Выпарили человечество кровавой баней только для того, чтоб кто-то где-то разжился Албанией.
Сцепилась злость человечьих свор, падает на мир за ударом удар только для того, чтоб бесплатно Босфор проходили чьи-то суда.
Скоро у мира не оста-не-тся не-по-лло-ма-нного ребра. (пригл.) И душу вытащат. Ииии (пригл.)
Растопчут там ее только для того, чтоб кто-то к рукам при- брал Месопотамию. (пр.)
Во имя чего сапог (пр.) землю растаптывает (пр.) скрипящ и груб? х2
Когда же встанешь во весь свой рост, ты, отдающий жизнь свою им?
Когда же в лицо им бросишь вопрос: За что воюем? х3 За что? За что воюем? х2
"
Ksenon,"Молодой скуф (feat. Бемон, XBRO)","Мда, походу я соскуфился
Скуф, скуф скуф
Я молодой скуф - у меня всё гладко
Снова пью пиво, играю в танки
Я ем пельмени даже на завтрак
И на заводе делаю бабки
Я молодой скуф - у меня всё гладко
Снова пью пиво, играю в танки
Самый красивый, в жопу качалку
Все выходные я на рыбалке, факты
Я хочу быть, как Юра Хован
Не выходить вообще никуда
Тупо сидеть весь день у компа
Жаль, что ипотека заставляет пахать
Все думают, что в моей жизни нету спорта
Но это всё не правда - я фанат футбола
Бывает выпьем пива за здоровье сборной
Мы с мужиками после работы
Сегодня мы сидим в бане
Это всё, что щас меня парит
Ведь жена уехала к маме
Значит, пару дней без скандалов
Я хаваю пельмени под ""Уральские пельмени""
Не брею свою рожу уже двадцать две недели
Забил на все амбиции, не ставлю больше цели
Запускаю свои танки, запускаю своё тело
В меня никто не верил
Всю жизнь одни проблемы
Чипсы, игры, телек
Заставляют меня жить
Скуф, скуф, скуф
Я молодой скуф - у меня всё гладко
Снова пью пиво, играю в танки
Я ем пельмени даже на завтрак
И на заводе делаю бабки
Я молодой скуф - у меня всё гладко
Снова пью пиво, играю в танки
Самый красивый, в жопу качалку
Все выходные я на рыбалке, факты
Молодой скуф, молодой скуф
Молодой скуф, нужен каждой тянке
Молодой скуф, молодой скуф
Молодой скуф, чиллю на рыбалке
"
Глад Валакас,Басуха,"Ебать
И так, лобби c зяблами
Название «Глад Валакас»
Паро... Пароль — «1488»
1488, 5 на 5
Нихуя себе лупасит, сука, бля
Нихуя себе ебашит, блядь, басуха
По пожилым перепоночкам нихуйно, сука
Тупа, бля, ебашит из колонок нихуёвый бас
Я на падике хуярю ганджубас...
Я, МС Валера Боров нихуя
Тупа танцую без перебора, нихуёва, ё
Я пожилой старый тупа джигит
Я танцую и моя пожилая жопа гудит
Я, МС Валера, ча-ча-ча, Валера
Чипа-бой, пожилой ковбой
Я трясу губой
Тёлочка молодая голая, всегда со мной
Она танцует на пожилом чап-чап-чап-чап-чапе
Я, МС Валера, нихуя себе басуха
Бит, бас по ушам хуярит Донбасс
Я, МС Валера, нихуя себе, е
Я пожилой и мой хуй в говн...
Я, МС Валера-бой
Я трясу губой, хуй с тобой
I'm a hustle криминал Ты меня, сука,
Наебал У меня на тебя встал
Иди девочка моя, я выебу сейчас тебя
Раздвигай свою рогатку, поиграй в прятки
Закопайся от меня, где-нибудь в туалете
А я тебя найду там на рассвете
И будет с тобою ча-ча-ча
Нихуя себе басс, плотно по ушам
По пожилым перепоночкам хуярит басуха
Нихуя себе, я выебал [?]
Нихуя себе порнуха, нихуёвый бас-бас
Бас, плотно на бас, Донбасс
Бас, плотно на бас, Донбасс
Тупа с пацыками я пивасик наливаю и бухаю, бойз
Тупа отдыхаем, е
Тёлочки молодые, танцуют полуголые
Хотят меня все, а я выпиваю пиво
Всё красиво, справедливо набухаться
А потом в туалете с тёлками поебаться
Бас-бас, бас, Донбасс
Бас, бас, бас, Донбасс
Тупа плотненько ебашит нихуёва под битло
Я пожилое хамбла-хамбла-хамблабло
Нормально, чи не? (Илья Николаевич, ему сегодня вырвали зуб и у него температура)
"
Песни из компьютерных игр,Welcome to my World - (Добро пожаловать в мой мир) - Honkai: Star Rail OST - 2 на русском," Темп лови, качайся в бит, вверх руки, кто ты есть полюби.
Возойдём на пик вершин... Уо, о-о, о...
Ощути огонь внутри. Ты к доверию ключ в этот миг.
Лучший час мечту воплотить... Воуо, о-о, о...
Брось всё позади, готов будь ты.
Вмиг ты ныряй в мир мой,
Меняй все представленья. Во-оу...
Посмотришь мир большой,
Послушай наставленье, нет уз здесь. Над землёй ногой стучи, вокруг звёзды, раз поймал ты бит.
С тобой к вышине летим. Уо, о-о, о...
В яркий свет скорей нырни, пусть не затянут рутины дни.
Лучший час мечту воплотить. Воуо, о-о, о...
Брось всё позади, готов будь ты. (Пойте все!)
Погрузить в мир мой,
Меняй все представленья. Во-оу...
Посмотришь мир большой,
Послушай наставленье, нет уз здесь.
Брось всё позади.
Погрузись в мир мой, меняй все представленья. Во-оу...
Посмотришь мир большой, послушай наставленье.
Погрузись в мир мой, меняй все представленья. Во-оу...
Посмотришь мир большой, за горизонт выходим мы с тобой.
"
Авторские песни,Марк CSGO,"Марк, одинокий парень, никогда не знает покоя.
Весь вечер, и всю ночь играет в CS GO.
На слабом ПК, все идет с задержкой,
но это не мешает ему быть самым лучший игроком.
Сидит в своем кресле, руки на клавиатуре,
играет с командой будто это настоящий турнир
Умирает несколько раз, но не сдается никогда,
Марк знает, что только практика, сделает его лучше
Мааааарк.
Играет в CS GO, мечтает стать про-фи,
стреляет по врагам словно огонь из ружья
Ты лучший, никто не может тебя победить,
В этой игре ты сильнее всех, ты просто улет
уууууу
"
Земляне,Маленький кораблик,"Маленький кораблик
Медленно волна уносит в даль.
Терять его так жаль.
Тает парус детства,
С ним простился ты
Навсегда,
Но это не беда.
Пусть плывет, пусть плывет
Кораблик мечты.
Он не сможет пропасть,
Если с ним
В трудный час
Будешь ты.
Твой кораблик детства,
Хрупкий, словно лед,
По весне
Вернется лишь во сне.
И отчалит снова
В мир зеленых трав
И синевы,
Где с ним расстались вы.
Ты рукою махни
Кораблику вслед
И в душе сохрани
Детства солнечный свет,
Ясный свет.
Стал навек он твоей судьбой
И спасет от беды любой
Тебя кораблик твой.
Стал навек он твоей судьбой
И спасет от беды любой
Тебя кораблик твой.
Маленький кораблик
Медленно волна
Уносит в даль.
Терять его так жаль.
Маленький кораблик...
"
Треустье,Бойцы уходят в накат,"По дороге размытой дождями,
Вдоль деревьев побитых артой,
На буханке, седыми степями,
Продвигаемся к передовой.
Тени листьев играют на лицах.
И над чащей беззвучно парят,
Словно гордые хищные птицы,
Отошедшие души солдат.
В перебинтованом небе закат.
По тропе, как по лезвию бритвы,
Снова бойцы уходят в накат,
Под минный свист шепча молитвы.
Ненасытный, ревущий Молох
Пожирает комья земли.
Где садится остывший порох,
Там живые сады цвели.
Потемнел в атаках свирепых
Под бронею нательный крест.
Это наши русские степи,
Это наш изувеченный лес.
В перебинтованом небе закат.
По тропе, как по лезвию бритвы,
Снова бойцы уходят в накат,
Под минный свист шепча молитвы.
"
Бригадный подряд,Либидо,"четыре раза
Ты вспоминаешь рожу Микки Рурка,
Когда ложишься спать в мою постель.
Чтоб охмурить тебя, моя Данная,
Не нужно девять с половиной недель,
Не нужно девять с половиной недель.
Либидо- это всё, чем я плачу!
Просто либидо - это всё.
Я отдаю назад стрелу Амуру,
И вместо пряников иду в sex-shop.
И там куплю я надувную дуру,
Тебя унизить и обидеть чтоб.
Я поступаю как типичный жлоб.
Либидо- это всё, чем я плачу!
Просто либидо - это всё.
"
Чучело,Я больше не влюблюсь,"Я просто твоя ночь
Ты спишь а я не сплю
Все думаю о том как я тебя люблю
Попытка номер сто
Я снова разобьюсь
Однажды я уйду
Однажды испарюсь
И я клянусь
Я больше не влюблюсь
Я больше не влюблюсь
В тебя опять
И я клянусь
Я больше не вернусь
Я больше не вернусь к тебе
О нет
Я просто твоя тень
Я за тобой бегу
Я ненавижу день, которым я живу
Совсем не больно мне
Я снова притворюсь
Однажды я уйду
Однажды испарюсь
И я клянусь
Я больше не влюблюсь
Я больше не влюблюсь
В тебя опять
И я клянусь
Я больше не вернусь
Я больше не вернусь к тебе ,о нет
И я клянусь
Я больше не влюблюсь
Я больше не влюблюсь
В тебя опять
И я клянусь
Я больше не вернусь
Я больше не вернусь к тебе ,о нет
"
Земляне,"Прости, Земля!","Смотри, вот опять в небесах
Плывет черный дым над тайгой
День и ночь под рев машин
Землю так свою крушим,
Словно мы на планете чужой.
Скалу поднял взрыв на дыбы.
Ушла вдруг вода из ручья.
Мать-Земля, за часом час,
На руках качая нас,
Разве знать ты могла, где беда твоя
Прости, Земля!
Мы ведь еще растем.
Своих детей прости за все, за все.
Поверь, Земля, люди найдут пути
Спасти тебя, себя спасти.
Ищи хоть две тысячи лет,
Лети к самой дальней звезде,
И в немыслимой дали
Мы другой такой Земли
Не найдем никогда и нигде.
Земля то в траве, то в снегу.
Земля, где в пол-неба заря,
Каждый день и час любой
Мы в долгу перед тобой,
Неразумных детей ты прости, Земля
Прости, Земля!
Мы ведь еще растем.
Своих детей прости за все, за все.
Поверь, Земля, люди найдут пути
Спасти тебя, себя спасти.
"
Freelite,Замени меня,"Замени меня, замени меня
Другой звездой
Их там миллиард, их там миллиард
Любой, любой Любой, любой, любой
Замени меня, замени меня
Другим, чужим
Наши имена канут в океан
Прости, прости
Прости
Замени меня (не меня, не меня, не меня)
Замени меня (не меня, не меня, не меня)
Не меняй, не меняй
Замени меня, замени меня
Другой звездой
Их там миллиард, их там миллиард
Любой, любой
"
Чучело,Самое грустное лето,"И внутри нас плачут одинокие дети
Умрем на закате нас найдут на рассвете
Мы снова встретим самое грустное лето
На крышах домов к нам придёт конец света
И внутри нас плачут одинокие дети
Умрем на закате нас найдут на рассвете
Мы снова встретим самое грустное лето
На крышах домов к нам придёт конец света
Я вижу твою боль
И слышу шёпот слез
Мы вновь играем роль
Всё это не всерьез
Давай убьем в себе
Причины бытия
Я подарю тебе
Себя
И внутри нас плачут одинокие дети
Умрем на закате нас найдут на рассвете
Мы снова встретим самое грустное лето
На крышах домов к нам придёт конец света
И внутри нас плачут одинокие дети
Умрем на закате нас найдут на рассвете
Мы снова встретим самое грустное лето
На крышах домов к нам придёт конец света
Я вижу пустоту
Твоих стеклянных глаз
Увидим ли мечту
Узнаем ли мы нас
Давай убьем в себе
Причины бытия
Я подарю тебе
Себя
И внутри нас плачут одинокие дети
Умрем на закате нас найдут на рассвете
Мы снова встретим самое грустное лето
На крышах домов к нам придёт конец света
И внутри нас плачут одинокие дети
Умрем на закате нас найдут на рассвете
Мы снова встретим самое грустное лето
На крышах домов к нам придёт конец света
"
